STATEFP|DISTRICT|NAME|NAMELSAD
36|01|1|Congressional District 1
36|02|2|Congressional District 2
36|03|3|Congressional District 3
36|04|4|Congressional District 4
36|05|5|Congressional District 5
36|06|6|Congressional District 6
36|07|7|Congressional District 7
36|08|8|Congressional District 8
36|09|9|Congressional District 9
36|10|10|Congressional District 10
36|11|11|Congressional District 11
36|12|12|Congressional District 12
36|13|13|Congressional District 13
36|14|14|Congressional District 14
36|15|15|Congressional District 15
36|16|16|Congressional District 16
36|17|17|Congressional District 17
36|18|18|Congressional District 18
36|19|19|Congressional District 19
36|20|20|Congressional District 20
36|21|21|Congressional District 21
36|22|22|Congressional District 22
36|23|23|Congressional District 23
36|24|24|Congressional District 24
36|25|25|Congressional District 25
36|26|26|Congressional District 26
36|27|27|Congressional District 27
36|28|28|Congressional District 28
36|29|29|Congressional District 29
